SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,CNTT_NM,COUNTRY_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
10053,1,일본여행,여행,해외여행,아시아,일본,1004,9624,10628,20230318
10054,2,대만여행,여행,해외여행,아시아,대만,542,6582,7124,20230318
10055,3,라오스여행,여행,해외여행,아시아,라오스,136,6304,6440,20230318
10056,4,베트남여행,여행,해외여행,아시아,베트남,392,5490,5882,20230318
10057,5,싱가포르여행,여행,해외여행,아시아,싱가포르,313,4694,5007,20230318
10058,6,후쿠오카여행,여행,해외여행,아시아,일본,507,4102,4609,20230318
10059,7,오사카여행,여행,해외여행,아시아,일본,546,3960,4506,20230318
10060,8,태국여행,여행,해외여행,아시아,태국,278,3832,4110,20230318
10061,9,발리여행,여행,해외여행,아시아,인도네시아,227,3624,3851,20230318
10062,10,세부여행,여행,해외여행,아시아,필리핀,314,3525,3839,20230318
