"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","CNTT_NM","COUNTRY_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"8333","1","일본여행","여행","해외여행","아시아","일본","4414","15740","20154","20220930"
"8334","2","대만여행","여행","해외여행","아시아","대만","1338","5104","6442","20220930"
"8335","3","싱가포르여행","여행","해외여행","아시아","싱가포르","616","3458","4074","20220930"
"8336","4","베트남여행","여행","해외여행","아시아","베트남","600","3426","4026","20220930"
"8337","5","오사카여행","여행","해외여행","아시아","일본","924","3013","3937","20220930"
"8338","6","후쿠오카여행","여행","해외여행","아시아","일본","845","2966","3811","20220930"
"8339","7","괌여행","여행","해외여행","오세아니아","미국","648","2896","3544","20220930"
"8340","8","태국여행","여행","해외여행","아시아","태국","589","2948","3537","20220930"
"8341","9","도쿄여행","여행","해외여행","아시아","일본","819","2564","3383","20220930"
"8342","10","방콕여행","여행","해외여행","아시아","태국","360","1829","2189","20220930"
