SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,CNTT_NM,COUNTRY_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
9903,1,일본여행,여행,해외여행,아시아,일본,1935,8042,9977,20230303
9904,2,대만여행,여행,해외여행,아시아,대만,1198,5130,6328,20230303
9905,3,베트남여행,여행,해외여행,아시아,베트남,696,4269,4965,20230303
9906,4,후쿠오카여행,여행,해외여행,아시아,일본,980,3718,4698,20230303
9907,5,싱가포르여행,여행,해외여행,아시아,싱가포르,653,3811,4464,20230303
9908,6,오사카여행,여행,해외여행,아시아,일본,852,2973,3825,20230303
9909,7,태국여행,여행,해외여행,아시아,태국,549,3033,3582,20230303
9910,8,홍콩여행,여행,해외여행,아시아,중국,656,2686,3342,20230303
9911,9,스페인여행,여행,해외여행,유럽,스페인,420,2876,3296,20230303
9912,10,도쿄여행,여행,해외여행,아시아,일본,750,2545,3295,20230303
