"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","CNTT_NM","COUNTRY_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"3839","1","일본여행","여행","해외여행","아시아","일본","265","1086","1351","20210910"
"3840","2","사이판여행","여행","해외여행","오세아니아","미국","199","848","1047","20210910"
"3841","3","괌여행","여행","해외여행","오세아니아","미국","190","710","900","20210910"
"3842","4","오스트리아여행","여행","해외여행","유럽","오스트리아","20","859","879","20210910"
"3843","5","하와이여행","여행","해외여행","북아메리카","미국","170","558","728","20210910"
"3844","6","태국여행","여행","해외여행","아시아","태국","132","555","687","20210910"
"3845","7","미국여행","여행","해외여행","북아메리카","미국","105","439","544","20210910"
"3846","8","스페인여행","여행","해외여행","유럽","스페인","89","349","438","20210910"
"3847","9","스위스여행","여행","해외여행","유럽","스위스","93","300","393","20210910"
"3848","10","대만여행","여행","해외여행","아시아","대만","94","291","385","20210910"
