SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,CNTT_NM,COUNTRY_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
10336,1,일본여행,여행,해외여행,아시아,일본,1059,10316,11375,20230415
10337,2,대만여행,여행,해외여행,아시아,대만,603,6630,7233,20230415
10338,3,후쿠오카여행,여행,해외여행,아시아,일본,627,4965,5592,20230415
10339,4,베트남여행,여행,해외여행,아시아,베트남,361,4865,5226,20230415
10340,5,오사카여행,여행,해외여행,아시아,일본,574,4323,4897,20230415
10341,6,싱가포르여행,여행,해외여행,아시아,싱가포르,326,4506,4832,20230415
10342,7,도쿄여행,여행,해외여행,아시아,일본,527,3461,3988,20230415
10343,8,태국여행,여행,해외여행,아시아,태국,287,3367,3654,20230415
10344,9,세부여행,여행,해외여행,아시아,필리핀,300,2954,3254,20230415
10345,10,괌여행,여행,해외여행,오세아니아,미국,334,2903,3237,20230415
