SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,CNTT_NM,COUNTRY_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
10696,1,일본여행,여행,해외여행,아시아,일본,1111,10359,11470,20230521
10697,2,대만여행,여행,해외여행,아시아,대만,566,6235,6801,20230521
10698,3,후쿠오카여행,여행,해외여행,아시아,일본,694,5442,6136,20230521
10699,4,몽골여행,여행,해외여행,아시아,몽골,331,5574,5905,20230521
10700,5,싱가포르여행,여행,해외여행,아시아,싱가포르,316,5509,5825,20230521
10701,6,오사카여행,여행,해외여행,아시아,일본,758,4954,5712,20230521
10702,7,베트남여행,여행,해외여행,아시아,베트남,373,5084,5457,20230521
10703,8,도쿄여행,여행,해외여행,아시아,일본,669,3874,4543,20230521
10704,9,세부여행,여행,해외여행,아시아,필리핀,353,3921,4274,20230521
10705,10,태국여행,여행,해외여행,아시아,태국,327,3891,4218,20230521
