"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","CNTT_NM","COUNTRY_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"2449","1","쿠바여행","여행","해외여행","남아메리카","쿠바","35","1226","1261","20210424"
"2450","2","일본여행","여행","해외여행","아시아","일본","133","715","848","20210424"
"2451","3","베트남여행","여행","해외여행","아시아","베트남","61","402","463","20210424"
"2452","4","대만여행","여행","해외여행","아시아","대만","57","343","400","20210424"
"2453","5","태국여행","여행","해외여행","아시아","태국","60","313","373","20210424"
"2454","6","미국여행","여행","해외여행","북아메리카","미국","45","295","340","20210424"
"2455","7","하와이여행","여행","해외여행","북아메리카","미국","37","290","327","20210424"
"2456","8","스페인여행","여행","해외여행","유럽","스페인","32","240","272","20210424"
"2457","9","두바이여행","여행","해외여행","아시아","아랍에미리트","18","215","233","20210424"
"2458","10","이스라엘여행","여행","해외여행","아시아","이스라엘","13","212","225","20210424"
