SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,CNTT_NM,COUNTRY_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
10756,1,일본여행,여행,해외여행,아시아,일본,907,9184,10091,20230527
10757,2,몽골여행,여행,해외여행,아시아,몽골,346,8482,8828,20230527
10758,3,대만여행,여행,해외여행,아시아,대만,505,5279,5784,20230527
10759,4,후쿠오카여행,여행,해외여행,아시아,일본,618,4917,5535,20230527
10760,5,싱가포르여행,여행,해외여행,아시아,싱가포르,368,4692,5060,20230527
10761,6,오사카여행,여행,해외여행,아시아,일본,531,4148,4679,20230527
10762,7,베트남여행,여행,해외여행,아시아,베트남,289,4362,4651,20230527
10763,8,세부여행,여행,해외여행,아시아,필리핀,326,4043,4369,20230527
10764,9,도쿄여행,여행,해외여행,아시아,일본,516,3337,3853,20230527
10765,10,괌여행,여행,해외여행,오세아니아,미국,255,3474,3729,20230527
