"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","CNTT_NM","COUNTRY_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"7593","1","일본여행","여행","해외여행","아시아","일본","3520","12719","16239","20220719"
"7594","2","베트남여행","여행","해외여행","아시아","베트남","973","4454","5427","20220719"
"7595","3","태국여행","여행","해외여행","아시아","태국","915","3844","4759","20220719"
"7596","4","싱가포르여행","여행","해외여행","아시아","싱가포르","817","3181","3998","20220719"
"7597","5","괌여행","여행","해외여행","오세아니아","미국","867","2692","3559","20220719"
"7598","6","방콕여행","여행","해외여행","아시아","태국","659","2266","2925","20220719"
"7599","7","대만여행","여행","해외여행","아시아","대만","534","1609","2143","20220719"
"7600","8","다낭여행","여행","해외여행","아시아","베트남","544","1561","2105","20220719"
"7601","9","몽골여행","여행","해외여행","아시아","몽골","364","1639","2003","20220719"
"7602","10","터키여행","여행","해외여행","유럽","터키","389","1561","1950","20220719"
