SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,CNTT_NM,COUNTRY_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
9983,1,일본여행,여행,해외여행,아시아,일본,835,7843,8678,20230311
9984,2,대만여행,여행,해외여행,아시아,대만,513,5353,5866,20230311
9985,3,라오스여행,여행,해외여행,아시아,라오스,132,4928,5060,20230311
9986,4,베트남여행,여행,해외여행,아시아,베트남,296,4472,4768,20230311
9987,5,싱가포르여행,여행,해외여행,아시아,싱가포르,292,4142,4434,20230311
9988,6,오사카여행,여행,해외여행,아시아,일본,443,3109,3552,20230311
9989,7,후쿠오카여행,여행,해외여행,아시아,일본,414,3111,3525,20230311
9990,8,홍콩여행,여행,해외여행,아시아,중국,250,3248,3498,20230311
9991,9,태국여행,여행,해외여행,아시아,태국,214,3278,3492,20230311
9992,10,스페인여행,여행,해외여행,유럽,스페인,217,3222,3439,20230311
