"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","CNTT_NM","COUNTRY_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"1871","1","일본여행","여행","해외여행","아시아","일본","256","795","1051","20210225"
"1872","2","하와이여행","여행","해외여행","북아메리카","미국","86","428","514","20210225"
"1873","3","베트남여행","여행","해외여행","아시아","베트남","103","375","478","20210225"
"1874","4","태국여행","여행","해외여행","아시아","태국","89","270","359","20210225"
"1875","5","대만여행","여행","해외여행","아시아","대만","90","264","354","20210225"
"1876","6","미국여행","여행","해외여행","북아메리카","미국","61","260","321","20210225"
"1877","7","스위스여행","여행","해외여행","유럽","스위스","59","195","254","20210225"
"1878","8","이탈리아여행","여행","해외여행","유럽","이탈리아","18","226","244","20210225"
"1879","9","중국여행","여행","해외여행","아시아","중국","45","165","210","20210225"
"1880","10","괌여행","여행","해외여행","오세아니아","미국","64","139","203","20210225"
