SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,CNTT_NM,COUNTRY_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
9353,1,일본여행,여행,해외여행,아시아,일본,3752,17257,21009,20230110
9354,2,후쿠오카여행,여행,해외여행,아시아,일본,2200,7427,9627,20230110
9355,3,베트남여행,여행,해외여행,아시아,베트남,1358,7210,8568,20230110
9356,4,태국여행,여행,해외여행,아시아,태국,1223,6936,8159,20230110
9357,5,오사카여행,여행,해외여행,아시아,일본,1709,6341,8050,20230110
9358,6,대만여행,여행,해외여행,아시아,대만,1614,6282,7896,20230110
9359,7,도쿄여행,여행,해외여행,아시아,일본,1574,5106,6680,20230110
9360,8,싱가포르여행,여행,해외여행,아시아,싱가포르,1071,5386,6457,20230110
9361,9,세부여행,여행,해외여행,아시아,필리핀,718,3163,3881,20230110
9362,10,다낭여행,여행,해외여행,아시아,베트남,800,2940,3740,20230110
