"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","CNTT_NM","COUNTRY_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"1171","1","일본여행","여행","해외여행","아시아","일본","214","590","804","20201217"
"1172","2","대만여행","여행","해외여행","아시아","대만","69","328","397","20201217"
"1173","3","스위스여행","여행","해외여행","유럽","스위스","90","291","381","20201217"
"1174","4","미국여행","여행","해외여행","북아메리카","미국","59","280","339","20201217"
"1175","5","베트남여행","여행","해외여행","아시아","베트남","77","249","326","20201217"
"1176","6","중국여행","여행","해외여행","아시아","중국","65","226","291","20201217"
"1177","7","태국여행","여행","해외여행","아시아","태국","71","204","275","20201217"
"1178","8","하와이여행","여행","해외여행","북아메리카","미국","68","185","253","20201217"
"1179","9","파리여행","여행","해외여행","유럽","프랑스","63","174","237","20201217"
"1180","10","캐나다여행","여행","해외여행","북아메리카","캐나다","32","167","199","20201217"
