"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","CNTT_NM","COUNTRY_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"6249","1","일본여행","여행","해외여행","아시아","일본","1377","10003","11380","20220430"
"6250","2","베트남여행","여행","해외여행","아시아","베트남","226","3019","3245","20220430"
"6251","3","싱가포르여행","여행","해외여행","아시아","싱가포르","192","2630","2822","20220430"
"6252","4","괌여행","여행","해외여행","오세아니아","미국","253","2453","2706","20220430"
"6253","5","태국여행","여행","해외여행","아시아","태국","226","2297","2523","20220430"
"6254","6","하와이여행","여행","해외여행","북아메리카","미국","179","2136","2315","20220430"
"6255","7","발리여행","여행","해외여행","아시아","인도네시아","122","1951","2073","20220430"
"6256","8","터키여행","여행","해외여행","유럽","터키","150","1567","1717","20220430"
"6257","9","대만여행","여행","해외여행","아시아","대만","110","1492","1602","20220430"
"6258","10","스위스여행","여행","해외여행","유럽","스위스","127","1307","1434","20220430"
