SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,CNTT_NM,COUNTRY_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
8953,1,일본여행,여행,해외여행,아시아,일본,2911,12549,15460,20221201
8954,2,후쿠오카여행,여행,해외여행,아시아,일본,1834,6176,8010,20221201
8955,3,오사카여행,여행,해외여행,아시아,일본,1404,5183,6587,20221201
8956,4,도쿄여행,여행,해외여행,아시아,일본,1291,4256,5547,20221201
8957,5,대만여행,여행,해외여행,아시아,대만,1109,4242,5351,20221201
8958,6,베트남여행,여행,해외여행,아시아,베트남,775,4034,4809,20221201
8959,7,태국여행,여행,해외여행,아시아,태국,677,3505,4182,20221201
8960,8,싱가포르여행,여행,해외여행,아시아,싱가포르,643,3397,4040,20221201
8961,9,삿포로여행,여행,해외여행,아시아,일본,740,2899,3639,20221201
8962,10,세부여행,여행,해외여행,아시아,필리핀,534,2226,2760,20221201
