"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","CNTT_NM","COUNTRY_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"2769","1","일본여행","여행","해외여행","아시아","일본","373","1035","1408","20210526"
"2770","2","하와이여행","여행","해외여행","북아메리카","미국","144","412","556","20210526"
"2771","3","미국여행","여행","해외여행","북아메리카","미국","130","393","523","20210526"
"2772","4","괌여행","여행","해외여행","오세아니아","미국","143","375","518","20210526"
"2773","5","베트남여행","여행","해외여행","아시아","베트남","120","373","493","20210526"
"2774","6","스위스여행","여행","해외여행","유럽","스위스","124","337","461","20210526"
"2775","7","태국여행","여행","해외여행","아시아","태국","129","330","459","20210526"
"2776","8","대만여행","여행","해외여행","아시아","대만","110","262","372","20210526"
"2777","9","중국여행","여행","해외여행","아시아","중국","74","259","333","20210526"
"2778","10","싱가포르여행","여행","해외여행","아시아","싱가포르","63","256","319","20210526"
