SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,CNTT_NM,COUNTRY_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
9533,1,일본여행,여행,해외여행,아시아,일본,3748,16648,20396,20230125
9534,2,대만여행,여행,해외여행,아시아,대만,1865,7686,9551,20230125
9535,3,후쿠오카여행,여행,해외여행,아시아,일본,2143,7197,9340,20230125
9536,4,베트남여행,여행,해외여행,아시아,베트남,1484,7036,8520,20230125
9537,5,싱가포르여행,여행,해외여행,아시아,싱가포르,1219,7092,8311,20230125
9538,6,오사카여행,여행,해외여행,아시아,일본,1718,6223,7941,20230125
9539,7,도쿄여행,여행,해외여행,아시아,일본,1614,5194,6808,20230125
9540,8,태국여행,여행,해외여행,아시아,태국,1053,5368,6421,20230125
9541,9,괌여행,여행,해외여행,오세아니아,미국,1046,3638,4684,20230125
9542,10,발리여행,여행,해외여행,아시아,인도네시아,785,3553,4338,20230125
