SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,CNTT_NM,COUNTRY_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
9043,1,일본여행,여행,해외여행,아시아,일본,1646,14927,16573,20221210
9044,2,후쿠오카여행,여행,해외여행,아시아,일본,1023,7959,8982,20221210
9045,3,오사카여행,여행,해외여행,아시아,일본,824,6417,7241,20221210
9046,4,대만여행,여행,해외여행,아시아,대만,583,6288,6871,20221210
9047,5,도쿄여행,여행,해외여행,아시아,일본,851,5240,6091,20221210
9048,6,베트남여행,여행,해외여행,아시아,베트남,350,5182,5532,20221210
9049,7,싱가포르여행,여행,해외여행,아시아,싱가포르,324,4551,4875,20221210
9050,8,삿포로여행,여행,해외여행,아시아,일본,430,4366,4796,20221210
9051,9,태국여행,여행,해외여행,아시아,태국,298,4108,4406,20221210
9052,10,세부여행,여행,해외여행,아시아,필리핀,203,3452,3655,20221210
