"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","CNTT_NM","COUNTRY_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"2789","1","일본여행","여행","해외여행","아시아","일본","274","775","1049","20210528"
"2790","2","하와이여행","여행","해외여행","북아메리카","미국","139","407","546","20210528"
"2791","3","인도여행","여행","해외여행","아시아","인도","99","431","530","20210528"
"2792","4","태국여행","여행","해외여행","아시아","태국","124","337","461","20210528"
"2793","5","베트남여행","여행","해외여행","아시아","베트남","110","338","448","20210528"
"2794","6","미국여행","여행","해외여행","북아메리카","미국","104","338","442","20210528"
"2795","7","괌여행","여행","해외여행","오세아니아","미국","125","295","420","20210528"
"2796","8","스위스여행","여행","해외여행","유럽","스위스","113","248","361","20210528"
"2797","9","대만여행","여행","해외여행","아시아","대만","108","251","359","20210528"
"2798","10","싱가포르여행","여행","해외여행","아시아","싱가포르","88","259","347","20210528"
