SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,CNTT_NM,COUNTRY_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
8823,1,일본여행,여행,해외여행,아시아,일본,3174,12944,16118,20221118
8824,2,후쿠오카여행,여행,해외여행,아시아,일본,1662,5919,7581,20221118
8825,3,오사카여행,여행,해외여행,아시아,일본,1449,4608,6057,20221118
8826,4,도쿄여행,여행,해외여행,아시아,일본,1253,4171,5424,20221118
8827,5,대만여행,여행,해외여행,아시아,대만,904,4024,4928,20221118
8828,6,베트남여행,여행,해외여행,아시아,베트남,630,3506,4136,20221118
8829,7,태국여행,여행,해외여행,아시아,태국,625,3414,4039,20221118
8830,8,싱가포르여행,여행,해외여행,아시아,싱가포르,525,3498,4023,20221118
8831,9,삿포로여행,여행,해외여행,아시아,일본,556,2412,2968,20221118
8832,10,세부여행,여행,해외여행,아시아,필리핀,463,2197,2660,20221118
