SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,CNTT_NM,COUNTRY_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
8793,1,일본여행,여행,해외여행,아시아,일본,3690,14304,17994,20221115
8794,2,후쿠오카여행,여행,해외여행,아시아,일본,2026,6532,8558,20221115
8795,3,오사카여행,여행,해외여행,아시아,일본,1705,5545,7250,20221115
8796,4,도쿄여행,여행,해외여행,아시아,일본,1639,4529,6168,20221115
8797,5,대만여행,여행,해외여행,아시아,대만,1243,4538,5781,20221115
8798,6,베트남여행,여행,해외여행,아시아,베트남,836,3857,4693,20221115
8799,7,싱가포르여행,여행,해외여행,아시아,싱가포르,769,3685,4454,20221115
8800,8,태국여행,여행,해외여행,아시아,태국,700,3336,4036,20221115
8801,9,삿포로여행,여행,해외여행,아시아,일본,793,2820,3613,20221115
8802,10,괌여행,여행,해외여행,오세아니아,미국,800,2483,3283,20221115
