SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,CNTT_NM,COUNTRY_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
10676,1,일본여행,여행,해외여행,아시아,일본,2041,7994,10035,20230519
10677,2,몽골여행,여행,해외여행,아시아,몽골,1019,5260,6279,20230519
10678,3,대만여행,여행,해외여행,아시아,대만,1203,4451,5654,20230519
10679,4,후쿠오카여행,여행,해외여행,아시아,일본,1162,4259,5421,20230519
10680,5,오사카여행,여행,해외여행,아시아,일본,1027,3572,4599,20230519
10681,6,싱가포르여행,여행,해외여행,아시아,싱가포르,717,3662,4379,20230519
10682,7,베트남여행,여행,해외여행,아시아,베트남,702,3591,4293,20230519
10683,8,도쿄여행,여행,해외여행,아시아,일본,992,3014,4006,20230519
10684,9,세부여행,여행,해외여행,아시아,필리핀,851,2844,3695,20230519
10685,10,태국여행,여행,해외여행,아시아,태국,586,2737,3323,20230519
