"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","CNTT_NM","COUNTRY_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"2259","1","일본여행","여행","해외여행","아시아","일본","314","888","1202","20210405"
"2260","2","베트남여행","여행","해외여행","아시아","베트남","136","503","639","20210405"
"2261","3","태국여행","여행","해외여행","아시아","태국","161","459","620","20210405"
"2262","4","대만여행","여행","해외여행","아시아","대만","122","357","479","20210405"
"2263","5","미국여행","여행","해외여행","북아메리카","미국","77","386","463","20210405"
"2264","6","하와이여행","여행","해외여행","북아메리카","미국","78","262","340","20210405"
"2265","7","스위스여행","여행","해외여행","유럽","스위스","64","247","311","20210405"
"2266","8","중국여행","여행","해외여행","아시아","중국","57","237","294","20210405"
"2267","9","괌여행","여행","해외여행","오세아니아","미국","94","183","277","20210405"
"2268","10","이탈리아여행","여행","해외여행","유럽","이탈리아","70","203","273","20210405"
