"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","CNTT_NM","COUNTRY_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"4299","1","일본여행","여행","해외여행","아시아","일본","1243","4193","5436","20211026"
"4300","2","태국여행","여행","해외여행","아시아","태국","759","2719","3478","20211026"
"4301","3","괌여행","여행","해외여행","오세아니아","미국","590","1781","2371","20211026"
"4302","4","하와이여행","여행","해외여행","북아메리카","미국","311","1477","1788","20211026"
"4303","5","싱가포르여행","여행","해외여행","아시아","싱가포르","343","1325","1668","20211026"
"4304","6","베트남여행","여행","해외여행","아시아","베트남","236","1010","1246","20211026"
"4305","7","스페인여행","여행","해외여행","유럽","스페인","249","965","1214","20211026"
"4306","8","사이판여행","여행","해외여행","오세아니아","미국","224","951","1175","20211026"
"4307","9","터키여행","여행","해외여행","유럽","터키","217","910","1127","20211026"
"4308","10","미국여행","여행","해외여행","북아메리카","미국","259","830","1089","20211026"
