SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,CNTT_NM,COUNTRY_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
9503,1,일본여행,여행,해외여행,아시아,일본,1066,18096,19162,20230122
9504,2,싱가포르여행,여행,해외여행,아시아,싱가포르,291,12378,12669,20230122
9505,3,대만여행,여행,해외여행,아시아,대만,490,9287,9777,20230122
9506,4,후쿠오카여행,여행,해외여행,아시아,일본,687,6889,7576,20230122
9507,5,베트남여행,여행,해외여행,아시아,베트남,272,6970,7242,20230122
9508,6,오사카여행,여행,해외여행,아시아,일본,550,6348,6898,20230122
9509,7,도쿄여행,여행,해외여행,아시아,일본,547,5375,5922,20230122
9510,8,태국여행,여행,해외여행,아시아,태국,234,5370,5604,20230122
9511,9,발리여행,여행,해외여행,아시아,인도네시아,162,3347,3509,20230122
9512,10,터키여행,여행,해외여행,유럽,터키,110,3287,3397,20230122
