"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","CNTT_NM","COUNTRY_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"1909","1","일본여행","여행","해외여행","아시아","일본","210","960","1170","20210301"
"1910","2","하와이여행","여행","해외여행","북아메리카","미국","56","546","602","20210301"
"1911","3","대만여행","여행","해외여행","아시아","대만","86","514","600","20210301"
"1912","4","베트남여행","여행","해외여행","아시아","베트남","82","511","593","20210301"
"1913","5","스위스여행","여행","해외여행","유럽","스위스","52","383","435","20210301"
"1914","6","미국여행","여행","해외여행","북아메리카","미국","50","299","349","20210301"
"1915","7","태국여행","여행","해외여행","아시아","태국","59","287","346","20210301"
"1916","8","두바이여행","여행","해외여행","아시아","아랍에미리트","27","297","324","20210301"
"1917","9","괌여행","여행","해외여행","오세아니아","미국","29","261","290","20210301"
"1918","10","중국여행","여행","해외여행","아시아","중국","36","242","278","20210301"
