SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,CNTT_NM,COUNTRY_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
8933,1,일본여행,여행,해외여행,아시아,일본,3115,13192,16307,20221129
8934,2,후쿠오카여행,여행,해외여행,아시아,일본,2048,6306,8354,20221129
8935,3,오사카여행,여행,해외여행,아시아,일본,1582,5326,6908,20221129
8936,4,도쿄여행,여행,해외여행,아시아,일본,1549,4273,5822,20221129
8937,5,대만여행,여행,해외여행,아시아,대만,1252,4375,5627,20221129
8938,6,베트남여행,여행,해외여행,아시아,베트남,760,3744,4504,20221129
8939,7,태국여행,여행,해외여행,아시아,태국,758,3631,4389,20221129
8940,8,싱가포르여행,여행,해외여행,아시아,싱가포르,756,3534,4290,20221129
8941,9,삿포로여행,여행,해외여행,아시아,일본,740,2766,3506,20221129
8942,10,세부여행,여행,해외여행,아시아,필리핀,535,2536,3071,20221129
