"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","CNTT_NM","COUNTRY_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"3919","1","사이판여행","여행","해외여행","오세아니아","미국","172","2355","2527","20210918"
"3920","2","일본여행","여행","해외여행","아시아","일본","204","1516","1720","20210918"
"3921","3","괌여행","여행","해외여행","오세아니아","미국","132","1399","1531","20210918"
"3922","4","발리여행","여행","해외여행","아시아","인도네시아","70","1123","1193","20210918"
"3923","5","태국여행","여행","해외여행","아시아","태국","98","795","893","20210918"
"3924","6","하와이여행","여행","해외여행","북아메리카","미국","73","783","856","20210918"
"3925","7","미국여행","여행","해외여행","북아메리카","미국","76","480","556","20210918"
"3926","8","대만여행","여행","해외여행","아시아","대만","62","479","541","20210918"
"3927","9","베트남여행","여행","해외여행","아시아","베트남","38","426","464","20210918"
"3928","10","스페인여행","여행","해외여행","유럽","스페인","32","361","393","20210918"
