"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","CNTT_NM","COUNTRY_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"5059","1","일본여행","여행","해외여행","아시아","일본","464","2132","2596","20220105"
"5060","2","태국여행","여행","해외여행","아시아","태국","208","742","950","20220105"
"5061","3","터키여행","여행","해외여행","유럽","터키","169","637","806","20220105"
"5062","4","베트남여행","여행","해외여행","아시아","베트남","148","611","759","20220105"
"5063","5","사이판여행","여행","해외여행","오세아니아","미국","146","606","752","20220105"
"5064","6","하와이여행","여행","해외여행","북아메리카","미국","109","586","695","20220105"
"5065","7","싱가포르여행","여행","해외여행","아시아","싱가포르","130","525","655","20220105"
"5066","8","미국여행","여행","해외여행","북아메리카","미국","117","412","529","20220105"
"5067","9","괌여행","여행","해외여행","오세아니아","미국","128","370","498","20220105"
"5068","10","라오스여행","여행","해외여행","아시아","라오스","47","448","495","20220105"
