SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,CNTT_NM,COUNTRY_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
8733,1,일본여행,여행,해외여행,아시아,일본,3642,13782,17424,20221109
8734,2,후쿠오카여행,여행,해외여행,아시아,일본,1872,5925,7797,20221109
8735,3,오사카여행,여행,해외여행,아시아,일본,1643,5346,6989,20221109
8736,4,도쿄여행,여행,해외여행,아시아,일본,1383,4238,5621,20221109
8737,5,대만여행,여행,해외여행,아시아,대만,1098,3802,4900,20221109
8738,6,싱가포르여행,여행,해외여행,아시아,싱가포르,629,3702,4331,20221109
8739,7,베트남여행,여행,해외여행,아시아,베트남,846,3481,4327,20221109
8740,8,태국여행,여행,해외여행,아시아,태국,740,3268,4008,20221109
8741,9,삿포로여행,여행,해외여행,아시아,일본,731,2274,3005,20221109
8742,10,세부여행,여행,해외여행,아시아,필리핀,583,2377,2960,20221109
