SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,CNTT_NM,COUNTRY_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
10236,1,일본여행,여행,해외여행,아시아,일본,2341,9940,12281,20230405
10237,2,대만여행,여행,해외여행,아시아,대만,1403,5941,7344,20230405
10238,3,후쿠오카여행,여행,해외여행,아시아,일본,1298,4514,5812,20230405
10239,4,베트남여행,여행,해외여행,아시아,베트남,931,4809,5740,20230405
10240,5,오사카여행,여행,해외여행,아시아,일본,1198,4099,5297,20230405
10241,6,싱가포르여행,여행,해외여행,아시아,싱가포르,757,4234,4991,20230405
10242,7,도쿄여행,여행,해외여행,아시아,일본,1143,3606,4749,20230405
10243,8,세부여행,여행,해외여행,아시아,필리핀,766,3258,4024,20230405
10244,9,태국여행,여행,해외여행,아시아,태국,648,2983,3631,20230405
10245,10,괌여행,여행,해외여행,오세아니아,미국,840,2604,3444,20230405
