SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,CNTT_NM,COUNTRY_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
6745,1,일본여행,여행,해외여행,아시아,일본,3858,14667,18525,20220617
6746,2,베트남여행,여행,해외여행,아시아,베트남,959,4684,5643,20220617
6747,3,태국여행,여행,해외여행,아시아,태국,739,2990,3729,20220617
6748,4,괌여행,여행,해외여행,오세아니아,미국,849,2766,3615,20220617
6749,5,싱가포르여행,여행,해외여행,아시아,싱가포르,578,2831,3409,20220617
6750,6,터키여행,여행,해외여행,유럽,터키,301,1887,2188,20220617
6751,7,대만여행,여행,해외여행,아시아,대만,498,1655,2153,20220617
6752,8,하와이여행,여행,해외여행,북아메리카,미국,370,1710,2080,20220617
6753,9,방콕여행,여행,해외여행,아시아,태국,392,1397,1789,20220617
6754,10,발리여행,여행,해외여행,아시아,인도네시아,345,1356,1701,20220617
