"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","CNTT_NM","COUNTRY_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"5859","1","일본여행","여행","해외여행","아시아","일본","924","6030","6954","20220326"
"5860","2","베트남여행","여행","해외여행","아시아","베트남","178","2335","2513","20220326"
"5861","3","하와이여행","여행","해외여행","북아메리카","미국","171","2080","2251","20220326"
"5862","4","괌여행","여행","해외여행","오세아니아","미국","145","1846","1991","20220326"
"5863","5","태국여행","여행","해외여행","아시아","태국","167","1758","1925","20220326"
"5864","6","싱가포르여행","여행","해외여행","아시아","싱가포르","154","1663","1817","20220326"
"5865","7","터키여행","여행","해외여행","유럽","터키","137","1523","1660","20220326"
"5866","8","발리여행","여행","해외여행","아시아","인도네시아","143","1365","1508","20220326"
"5867","9","사이판여행","여행","해외여행","오세아니아","미국","139","1356","1495","20220326"
"5868","10","스페인여행","여행","해외여행","유럽","스페인","145","1046","1191","20220326"
