"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","CNTT_NM","COUNTRY_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"2409","1","일본여행","여행","해외여행","아시아","일본","241","866","1107","20210420"
"2410","2","미국여행","여행","해외여행","북아메리카","미국","140","618","758","20210420"
"2411","3","베트남여행","여행","해외여행","아시아","베트남","107","405","512","20210420"
"2412","4","태국여행","여행","해외여행","아시아","태국","136","372","508","20210420"
"2413","5","대만여행","여행","해외여행","아시아","대만","92","303","395","20210420"
"2414","6","하와이여행","여행","해외여행","북아메리카","미국","107","267","374","20210420"
"2415","7","이스라엘여행","여행","해외여행","아시아","이스라엘","35","316","351","20210420"
"2416","8","알래스카여행","여행","해외여행","북아메리카","미국","64","283","347","20210420"
"2417","9","괌여행","여행","해외여행","오세아니아","미국","82","206","288","20210420"
"2418","10","스위스여행","여행","해외여행","유럽","스위스","78","197","275","20210420"
