"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","CNTT_NM","COUNTRY_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"1581","1","일본여행","여행","해외여행","아시아","일본","212","711","923","20210127"
"1582","2","베트남여행","여행","해외여행","아시아","베트남","114","485","599","20210127"
"1583","3","대만여행","여행","해외여행","아시아","대만","94","259","353","20210127"
"1584","4","미국여행","여행","해외여행","북아메리카","미국","58","273","331","20210127"
"1585","5","스위스여행","여행","해외여행","유럽","스위스","65","233","298","20210127"
"1586","6","태국여행","여행","해외여행","아시아","태국","61","222","283","20210127"
"1587","7","뉴질랜드여행","여행","해외여행","오세아니아","뉴질랜드","39","216","255","20210127"
"1588","8","하와이여행","여행","해외여행","북아메리카","미국","56","190","246","20210127"
"1589","9","두바이여행","여행","해외여행","아시아","아랍에미리트","52","184","236","20210127"
"1590","10","중국여행","여행","해외여행","아시아","중국","40","195","235","20210127"
