SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,CNTT_NM,COUNTRY_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
10716,1,일본여행,여행,해외여행,아시아,일본,2624,9838,12462,20230523
10717,2,후쿠오카여행,여행,해외여행,아시아,일본,1589,5173,6762,20230523
10718,3,대만여행,여행,해외여행,아시아,대만,1452,5251,6703,20230523
10719,4,오사카여행,여행,해외여행,아시아,일본,1389,4183,5572,20230523
10720,5,베트남여행,여행,해외여행,아시아,베트남,966,4436,5402,20230523
10721,6,싱가포르여행,여행,해외여행,아시아,싱가포르,912,4412,5324,20230523
10722,7,세부여행,여행,해외여행,아시아,필리핀,1067,3842,4909,20230523
10723,8,도쿄여행,여행,해외여행,아시아,일본,1216,3475,4691,20230523
10724,9,몽골여행,여행,해외여행,아시아,몽골,845,3463,4308,20230523
10725,10,태국여행,여행,해외여행,아시아,태국,767,3476,4243,20230523
