"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","CNTT_NM","COUNTRY_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"8093","1","일본여행","여행","해외여행","아시아","일본","8064","25084","33148","20220907"
"8094","2","태국여행","여행","해외여행","아시아","태국","742","2833","3575","20220907"
"8095","3","베트남여행","여행","해외여행","아시아","베트남","623","2762","3385","20220907"
"8096","4","싱가포르여행","여행","해외여행","아시아","싱가포르","574","2702","3276","20220907"
"8097","5","괌여행","여행","해외여행","오세아니아","미국","754","2134","2888","20220907"
"8098","6","방콕여행","여행","해외여행","아시아","태국","537","1871","2408","20220907"
"8099","7","대만여행","여행","해외여행","아시아","대만","637","1733","2370","20220907"
"8100","8","스위스여행","여행","해외여행","유럽","스위스","316","1541","1857","20220907"
"8101","9","오사카여행","여행","해외여행","아시아","일본","384","1391","1775","20220907"
"8102","10","도쿄여행","여행","해외여행","아시아","일본","327","1407","1734","20220907"
