SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,CNTT_NM,COUNTRY_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
9153,1,일본여행,여행,해외여행,아시아,일본,3416,15511,18927,20221221
9154,2,후쿠오카여행,여행,해외여행,아시아,일본,2129,7290,9419,20221221
9155,3,오사카여행,여행,해외여행,아시아,일본,1516,5390,6906,20221221
9156,4,대만여행,여행,해외여행,아시아,대만,1238,4938,6176,20221221
9157,5,도쿄여행,여행,해외여행,아시아,일본,1404,4443,5847,20221221
9158,6,베트남여행,여행,해외여행,아시아,베트남,879,4879,5758,20221221
9159,7,태국여행,여행,해외여행,아시아,태국,717,4207,4924,20221221
9160,8,싱가포르여행,여행,해외여행,아시아,싱가포르,714,3647,4361,20221221
9161,9,삿포로여행,여행,해외여행,아시아,일본,829,3229,4058,20221221
9162,10,세부여행,여행,해외여행,아시아,필리핀,566,2573,3139,20221221
