"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","CNTT_NM","COUNTRY_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"3859","1","일본여행","여행","해외여행","아시아","일본","234","1448","1682","20210912"
"3860","2","하와이여행","여행","해외여행","북아메리카","미국","94","1030","1124","20210912"
"3861","3","사이판여행","여행","해외여행","오세아니아","미국","71","997","1068","20210912"
"3862","4","괌여행","여행","해외여행","오세아니아","미국","86","924","1010","20210912"
"3863","5","태국여행","여행","해외여행","아시아","태국","95","639","734","20210912"
"3864","6","베트남여행","여행","해외여행","아시아","베트남","57","618","675","20210912"
"3865","7","미국여행","여행","해외여행","북아메리카","미국","97","511","608","20210912"
"3866","8","스페인여행","여행","해외여행","유럽","스페인","58","543","601","20210912"
"3867","9","대만여행","여행","해외여행","아시아","대만","70","457","527","20210912"
"3868","10","스위스여행","여행","해외여행","유럽","스위스","98","403","501","20210912"
