SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,CNTT_NM,COUNTRY_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
9713,1,일본여행,여행,해외여행,아시아,일본,1456,14514,15970,20230212
9714,2,대만여행,여행,해외여행,아시아,대만,754,8538,9292,20230212
9715,3,싱가포르여행,여행,해외여행,아시아,싱가포르,476,6837,7313,20230212
9716,4,후쿠오카여행,여행,해외여행,아시아,일본,796,5993,6789,20230212
9717,5,베트남여행,여행,해외여행,아시아,베트남,398,6226,6624,20230212
9718,6,오사카여행,여행,해외여행,아시아,일본,730,5255,5985,20230212
9719,7,태국여행,여행,해외여행,아시아,태국,360,5043,5403,20230212
9720,8,도쿄여행,여행,해외여행,아시아,일본,684,4355,5039,20230212
9721,9,발리여행,여행,해외여행,아시아,인도네시아,281,4294,4575,20230212
9722,10,괌여행,여행,해외여행,오세아니아,미국,322,3554,3876,20230212
