SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,CNTT_NM,COUNTRY_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
9553,1,일본여행,여행,해외여행,아시아,일본,3129,13899,17028,20230127
9554,2,대만여행,여행,해외여행,아시아,대만,1550,6891,8441,20230127
9555,3,후쿠오카여행,여행,해외여행,아시아,일본,1706,5459,7165,20230127
9556,4,싱가포르여행,여행,해외여행,아시아,싱가포르,992,5701,6693,20230127
9557,5,베트남여행,여행,해외여행,아시아,베트남,1108,5454,6562,20230127
9558,6,오사카여행,여행,해외여행,아시아,일본,1302,4945,6247,20230127
9559,7,도쿄여행,여행,해외여행,아시아,일본,1277,4085,5362,20230127
9560,8,태국여행,여행,해외여행,아시아,태국,951,4225,5176,20230127
9561,9,세부여행,여행,해외여행,아시아,필리핀,657,2732,3389,20230127
9562,10,괌여행,여행,해외여행,오세아니아,미국,795,2508,3303,20230127
