"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","CNTT_NM","COUNTRY_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"3439","1","일본여행","여행","해외여행","아시아","일본","113","789","902","20210801"
"3440","2","하와이여행","여행","해외여행","북아메리카","미국","71","642","713","20210801"
"3441","3","터키여행","여행","해외여행","유럽","터키","29","519","548","20210801"
"3442","4","괌여행","여행","해외여행","오세아니아","미국","53","443","496","20210801"
"3443","5","미국여행","여행","해외여행","북아메리카","미국","62","389","451","20210801"
"3444","6","태국여행","여행","해외여행","아시아","태국","39","394","433","20210801"
"3445","7","사이판여행","여행","해외여행","오세아니아","미국","32","315","347","20210801"
"3446","8","대만여행","여행","해외여행","아시아","대만","41","285","326","20210801"
"3447","9","스위스여행","여행","해외여행","유럽","스위스","37","278","315","20210801"
"3448","10","몽골여행","여행","해외여행","아시아","몽골","19","266","285","20210801"
