SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,CNTT_NM,COUNTRY_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
9193,1,일본여행,여행,해외여행,아시아,일본,1456,17629,19085,20221225
9194,2,후쿠오카여행,여행,해외여행,아시아,일본,964,8250,9214,20221225
9195,3,베트남여행,여행,해외여행,아시아,베트남,423,8404,8827,20221225
9196,4,발리여행,여행,해외여행,아시아,인도네시아,231,8002,8233,20221225
9197,5,오사카여행,여행,해외여행,아시아,일본,814,7113,7927,20221225
9198,6,대만여행,여행,해외여행,아시아,대만,519,6889,7408,20221225
9199,7,달랏여행,여행,해외여행,아시아,베트남,122,5852,5974,20221225
9200,8,도쿄여행,여행,해외여행,아시아,일본,695,5182,5877,20221225
9201,9,태국여행,여행,해외여행,아시아,태국,341,5107,5448,20221225
9202,10,싱가포르여행,여행,해외여행,아시아,싱가포르,319,4963,5282,20221225
