"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","CNTT_NM","COUNTRY_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"4019","1","일본여행","여행","해외여행","아시아","일본","656","2158","2814","20210928"
"4020","2","사이판여행","여행","해외여행","오세아니아","미국","298","1198","1496","20210928"
"4021","3","괌여행","여행","해외여행","오세아니아","미국","374","1092","1466","20210928"
"4022","4","하와이여행","여행","해외여행","북아메리카","미국","213","915","1128","20210928"
"4023","5","태국여행","여행","해외여행","아시아","태국","236","856","1092","20210928"
"4024","6","미국여행","여행","해외여행","북아메리카","미국","201","754","955","20210928"
"4025","7","발리여행","여행","해외여행","아시아","인도네시아","170","613","783","20210928"
"4026","8","이탈리아여행","여행","해외여행","유럽","이탈리아","122","589","711","20210928"
"4027","9","대만여행","여행","해외여행","아시아","대만","162","479","641","20210928"
"4028","10","스위스여행","여행","해외여행","유럽","스위스","176","451","627","20210928"
