"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","CNTT_NM","COUNTRY_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"6539","1","일본여행","여행","해외여행","아시아","일본","2697","22788","25485","20220529"
"6540","2","베트남여행","여행","해외여행","아시아","베트남","410","5544","5954","20220529"
"6541","3","괌여행","여행","해외여행","오세아니아","미국","386","4080","4466","20220529"
"6542","4","싱가포르여행","여행","해외여행","아시아","싱가포르","251","3514","3765","20220529"
"6543","5","태국여행","여행","해외여행","아시아","태국","306","3392","3698","20220529"
"6544","6","터키여행","여행","해외여행","유럽","터키","190","3132","3322","20220529"
"6545","7","하와이여행","여행","해외여행","북아메리카","미국","182","2824","3006","20220529"
"6546","8","대만여행","여행","해외여행","아시아","대만","228","2527","2755","20220529"
"6547","9","발리여행","여행","해외여행","아시아","인도네시아","157","2485","2642","20220529"
"6548","10","몰타여행","여행","해외여행","유럽","몰타","38","1998","2036","20220529"
