SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,CNTT_NM,COUNTRY_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
9093,1,일본여행,여행,해외여행,아시아,일본,2934,12517,15451,20221215
9094,2,후쿠오카여행,여행,해외여행,아시아,일본,2038,6733,8771,20221215
9095,3,오사카여행,여행,해외여행,아시아,일본,1430,5181,6611,20221215
9096,4,베트남여행,여행,해외여행,아시아,베트남,874,4885,5759,20221215
9097,5,대만여행,여행,해외여행,아시아,대만,1212,4445,5657,20221215
9098,6,도쿄여행,여행,해외여행,아시아,일본,1305,4316,5621,20221215
9099,7,삿포로여행,여행,해외여행,아시아,일본,1118,4130,5248,20221215
9100,8,태국여행,여행,해외여행,아시아,태국,777,3752,4529,20221215
9101,9,싱가포르여행,여행,해외여행,아시아,싱가포르,689,3581,4270,20221215
9102,10,세부여행,여행,해외여행,아시아,필리핀,599,2404,3003,20221215
