"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","CNTT_NM","COUNTRY_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"3949","1","하와이여행","여행","해외여행","북아메리카","미국","97","2101","2198","20210921"
"3950","2","일본여행","여행","해외여행","아시아","일본","228","1847","2075","20210921"
"3951","3","사이판여행","여행","해외여행","오세아니아","미국","114","1892","2006","20210921"
"3952","4","괌여행","여행","해외여행","오세아니아","미국","105","1573","1678","20210921"
"3953","5","태국여행","여행","해외여행","아시아","태국","90","1110","1200","20210921"
"3954","6","미국여행","여행","해외여행","북아메리카","미국","96","971","1067","20210921"
"3955","7","발리여행","여행","해외여행","아시아","인도네시아","45","923","968","20210921"
"3956","8","대만여행","여행","해외여행","아시아","대만","46","516","562","20210921"
"3957","9","스페인여행","여행","해외여행","유럽","스페인","52","494","546","20210921"
"3958","10","베트남여행","여행","해외여행","아시아","베트남","49","493","542","20210921"
