"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","CNTT_NM","COUNTRY_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"3699","1","일본여행","여행","해외여행","아시아","일본","256","795","1051","20210827"
"3700","2","하와이여행","여행","해외여행","북아메리카","미국","160","535","695","20210827"
"3701","3","괌여행","여행","해외여행","오세아니아","미국","162","453","615","20210827"
"3702","4","사이판여행","여행","해외여행","오세아니아","미국","101","395","496","20210827"
"3703","5","미국여행","여행","해외여행","북아메리카","미국","93","376","469","20210827"
"3704","6","태국여행","여행","해외여행","아시아","태국","85","330","415","20210827"
"3705","7","스위스여행","여행","해외여행","유럽","스위스","84","324","408","20210827"
"3706","8","대만여행","여행","해외여행","아시아","대만","80","271","351","20210827"
"3707","9","베트남여행","여행","해외여행","아시아","베트남","76","216","292","20210827"
"3708","10","캐나다여행","여행","해외여행","북아메리카","캐나다","72","219","291","20210827"
