SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,CNTT_NM,COUNTRY_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
8713,1,일본여행,여행,해외여행,아시아,일본,3860,13979,17839,20221107
8714,2,후쿠오카여행,여행,해외여행,아시아,일본,1886,5993,7879,20221107
8715,3,오사카여행,여행,해외여행,아시아,일본,1590,5330,6920,20221107
8716,4,도쿄여행,여행,해외여행,아시아,일본,1292,4181,5473,20221107
8717,5,대만여행,여행,해외여행,아시아,대만,1165,4046,5211,20221107
8718,6,베트남여행,여행,해외여행,아시아,베트남,808,3936,4744,20221107
8719,7,싱가포르여행,여행,해외여행,아시아,싱가포르,771,3948,4719,20221107
8720,8,태국여행,여행,해외여행,아시아,태국,785,3578,4363,20221107
8721,9,괌여행,여행,해외여행,오세아니아,미국,806,2468,3274,20221107
8722,10,삿포로여행,여행,해외여행,아시아,일본,722,2380,3102,20221107
