SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,CNTT_NM,COUNTRY_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
10316,1,일본여행,여행,해외여행,아시아,일본,2351,9490,11841,20230413
10317,2,대만여행,여행,해외여행,아시아,대만,1586,6078,7664,20230413
10318,3,후쿠오카여행,여행,해외여행,아시아,일본,1411,5041,6452,20230413
10319,4,오사카여행,여행,해외여행,아시아,일본,1239,4156,5395,20230413
10320,5,베트남여행,여행,해외여행,아시아,베트남,896,4478,5374,20230413
10321,6,싱가포르여행,여행,해외여행,아시아,싱가포르,763,4139,4902,20230413
10322,7,도쿄여행,여행,해외여행,아시아,일본,1024,3221,4245,20230413
10323,8,태국여행,여행,해외여행,아시아,태국,645,3095,3740,20230413
10324,9,세부여행,여행,해외여행,아시아,필리핀,727,2965,3692,20230413
10325,10,방콕여행,여행,해외여행,아시아,태국,813,2694,3507,20230413
