"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","CNTT_NM","COUNTRY_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"3529","1","일본여행","여행","해외여행","아시아","일본","241","865","1106","20210810"
"3530","2","미국여행","여행","해외여행","북아메리카","미국","147","569","716","20210810"
"3531","3","괌여행","여행","해외여행","오세아니아","미국","166","516","682","20210810"
"3532","4","하와이여행","여행","해외여행","북아메리카","미국","127","500","627","20210810"
"3533","5","모로코여행","여행","해외여행","아프리카","모로코","67","540","607","20210810"
"3534","6","사이판여행","여행","해외여행","오세아니아","미국","114","462","576","20210810"
"3535","7","대만여행","여행","해외여행","아시아","대만","84","410","494","20210810"
"3536","8","태국여행","여행","해외여행","아시아","태국","95","396","491","20210810"
"3537","9","터키여행","여행","해외여행","유럽","터키","63","331","394","20210810"
"3538","10","스위스여행","여행","해외여행","유럽","스위스","81","304","385","20210810"
