SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,CNTT_NM,COUNTRY_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
10486,1,일본여행,여행,해외여행,아시아,일본,1031,10760,11791,20230430
10487,2,대만여행,여행,해외여행,아시아,대만,505,7529,8034,20230430
10488,3,후쿠오카여행,여행,해외여행,아시아,일본,661,4899,5560,20230430
10489,4,베트남여행,여행,해외여행,아시아,베트남,323,4979,5302,20230430
10490,5,오사카여행,여행,해외여행,아시아,일본,516,4320,4836,20230430
10491,6,싱가포르여행,여행,해외여행,아시아,싱가포르,270,4546,4816,20230430
10492,7,도쿄여행,여행,해외여행,아시아,일본,545,3538,4083,20230430
10493,8,하와이여행,여행,해외여행,북아메리카,미국,170,3733,3903,20230430
10494,9,홍콩여행,여행,해외여행,아시아,중국,237,3543,3780,20230430
10495,10,태국여행,여행,해외여행,아시아,태국,249,3509,3758,20230430
