"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","CNTT_NM","COUNTRY_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"1071","1","일본여행","여행","해외여행","아시아","일본","289","790","1079","20201207"
"1072","2","스위스여행","여행","해외여행","유럽","스위스","94","335","429","20201207"
"1073","3","미국여행","여행","해외여행","북아메리카","미국","77","332","409","20201207"
"1074","4","대만여행","여행","해외여행","아시아","대만","82","258","340","20201207"
"1075","5","베트남여행","여행","해외여행","아시아","베트남","77","237","314","20201207"
"1076","6","태국여행","여행","해외여행","아시아","태국","94","188","282","20201207"
"1077","7","하와이여행","여행","해외여행","북아메리카","미국","83","185","268","20201207"
"1078","8","중국여행","여행","해외여행","아시아","중국","52","213","265","20201207"
"1079","9","몰타여행","여행","해외여행","유럽","몰타","13","230","243","20201207"
"1080","10","터키여행","여행","해외여행","유럽","터키","43","154","197","20201207"
