ALL_KWRD_RANK_CO,SRCHWRD_NM,CNTT_NM,COUNTRY_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
8,몰타여행,유럽,몰타,34,434,468,20210630
9,미국여행,북아메리카,미국,105,345,450,20210630
10,발리여행,아시아,인도네시아,56,362,418,20210630
1,일본여행,아시아,일본,285,876,1161,20210629
2,괌여행,오세아니아,미국,193,426,619,20210629
3,스위스여행,유럽,스위스,106,477,583,20210629
4,태국여행,아시아,태국,138,420,558,20210629
5,베트남여행,아시아,베트남,102,426,528,20210629
6,하와이여행,북아메리카,미국,126,394,520,20210629
7,사이판여행,오세아니아,미국,72,428,500,20210629
8,몰타여행,유럽,몰타,27,430,457,20210629
9,미국여행,북아메리카,미국,101,348,449,20210629
10,스페인여행,유럽,스페인,94,288,382,20210629
1,일본여행,아시아,일본,309,892,1201,20210628
2,괌여행,오세아니아,미국,210,438,648,20210628
3,베트남여행,아시아,베트남,134,468,602,20210628
4,태국여행,아시아,태국,147,451,598,20210628
5,하와이여행,북아메리카,미국,134,381,515,20210628
6,스위스여행,유럽,스위스,85,365,450,20210628
7,대만여행,아시아,대만,101,301,402,20210628
8,스페인여행,유럽,스페인,109,289,398,20210628
9,미국여행,북아메리카,미국,94,301,395,20210628
10,터키여행,유럽,터키,67,273,340,20210628
1,일본여행,아시아,일본,165,864,1029,20210626
2,발리여행,아시아,인도네시아,37,548,585,20210626
3,태국여행,아시아,태국,63,433,496,20210626
4,괌여행,오세아니아,미국,83,412,495,20210626
5,베트남여행,아시아,베트남,44,430,474,20210626
6,하와이여행,북아메리카,미국,54,385,439,20210626
7,미국여행,북아메리카,미국,70,308,378,20210626
8,대만여행,아시아,대만,31,289,320,20210626
9,터키여행,유럽,터키,28,289,317,20210626
10,스위스여행,유럽,스위스,31,282,313,20210626
1,일본여행,아시아,일본,198,1182,1380,20210620
2,괌여행,오세아니아,미국,112,845,957,20210620
3,터키여행,유럽,터키,49,782,831,20210620
4,태국여행,아시아,태국,83,652,735,20210620
5,하와이여행,북아메리카,미국,73,628,701,20210620
6,베트남여행,아시아,베트남,75,581,656,20210620
7,스페인여행,유럽,스페인,63,521,584,20210620
8,대만여행,아시아,대만,76,498,574,20210620
9,스위스여행,유럽,스위스,70,468,538,20210620
10,싱가포르여행,아시아,싱가포르,57,411,468,20210620
1,일본여행,아시아,일본,258,852,1110,20210625
2,괌여행,오세아니아,미국,146,435,581,20210625
3,태국여행,아시아,태국,111,417,528,20210625
4,하와이여행,북아메리카,미국,127,360,487,20210625
5,베트남여행,아시아,베트남,86,361,447,20210625
6,미국여행,북아메리카,미국,100,298,398,20210625
7,스페인여행,유럽,스페인,71,309,380,20210625
8,대만여행,아시아,대만,83,262,345,20210625
9,터키여행,유럽,터키,58,253,311,20210625
10,싱가포르여행,아시아,싱가포르,48,238,286,20210625
1,일본여행,아시아,일본,310,1048,1358,20210624
2,태국여행,아시아,태국,137,435,572,20210624
3,괌여행,오세아니아,미국,169,380,549,20210624
4,하와이여행,북아메리카,미국,126,374,500,20210624
5,필리핀여행,아시아,필리핀,78,389,467,20210624
6,베트남여행,아시아,베트남,98,359,457,20210624
7,스페인여행,유럽,스페인,98,325,423,20210624
8,미국여행,북아메리카,미국,99,324,423,20210624
9,스위스여행,유럽,스위스,102,308,410,20210624
10,터키여행,유럽,터키,83,306,389,20210624
1,일본여행,아시아,일본,197,960,1157,20210619
2,괌여행,오세아니아,미국,80,663,743,20210619
3,태국여행,아시아,태국,72,548,620,20210619
4,하와이여행,북아메리카,미국,72,547,619,20210619
5,베트남여행,아시아,베트남,56,481,537,20210619
6,터키여행,유럽,터키,41,463,504,20210619
7,대만여행,아시아,대만,60,374,434,20210619
8,스페인여행,유럽,스페인,43,384,427,20210619
9,발리여행,아시아,인도네시아,42,349,391,20210619
10,스위스여행,유럽,스위스,41,346,387,20210619
1,일본여행,아시아,일본,392,1133,1525,20210622
2,괌여행,오세아니아,미국,239,520,759,20210622
3,스페인여행,유럽,스페인,160,546,706,20210622
4,태국여행,아시아,태국,158,546,704,20210622
5,베트남여행,아시아,베트남,140,504,644,20210622
6,하와이여행,북아메리카,미국,143,459,602,20210622
7,미국여행,북아메리카,미국,134,374,508,20210622
8,터키여행,유럽,터키,95,370,465,20210622
9,스위스여행,유럽,스위스,134,328,462,20210622
10,대만여행,아시아,대만,114,301,415,20210622
1,괌여행,오세아니아,미국,541,1267,1808,20210617
2,일본여행,아시아,일본,354,1077,1431,20210617
3,터키여행,유럽,터키,144,965,1109,20210617
4,스페인여행,유럽,스페인,202,638,840,20210617
5,하와이여행,북아메리카,미국,165,575,740,20210617
6,태국여행,아시아,태국,178,522,700,20210617
7,베트남여행,아시아,베트남,139,540,679,20210617
8,싱가포르여행,아시아,싱가포르,133,436,569,20210617
9,스위스여행,유럽,스위스,129,434,563,20210617
10,대만여행,아시아,대만,162,381,543,20210617
1,일본여행,아시아,일본,414,1163,1577,20210621
2,스페인여행,유럽,스페인,234,753,987,20210621
3,괌여행,오세아니아,미국,275,633,908,20210621
4,태국여행,아시아,태국,183,565,748,20210621
5,하와이여행,북아메리카,미국,181,548,729,20210621
6,베트남여행,아시아,베트남,134,534,668,20210621
7,스위스여행,유럽,스위스,149,397,546,20210621
8,대만여행,아시아,대만,144,354,498,20210621
9,터키여행,유럽,터키,104,384,488,20210621
10,미국여행,북아메리카,미국,133,349,482,20210621
1,일본여행,아시아,일본,356,907,1263,20210618
2,괌여행,오세아니아,미국,253,746,999,20210618
3,하와이여행,북아메리카,미국,170,485,655,20210618
4,태국여행,아시아,태국,150,502,652,20210618
5,베트남여행,아시아,베트남,125,507,632,20210618
6,스페인여행,유럽,스페인,151,430,581,20210618
7,터키여행,유럽,터키,75,470,545,20210618
8,대만여행,아시아,대만,135,337,472,20210618
9,미국여행,북아메리카,미국,96,345,441,20210618
10,스위스여행,유럽,스위스,112,325,437,20210618
1,일본여행,아시아,일본,322,1069,1391,20210623
2,괌여행,오세아니아,미국,211,440,651,20210623
3,태국여행,아시아,태국,149,497,646,20210623
4,하와이여행,북아메리카,미국,158,402,560,20210623
5,베트남여행,아시아,베트남,128,409,537,20210623
6,스페인여행,유럽,스페인,125,411,536,20210623
7,대만여행,아시아,대만,134,295,429,20210623
8,미국여행,북아메리카,미국,111,306,417,20210623
9,스위스여행,유럽,스위스,104,281,385,20210623
10,터키여행,유럽,터키,83,260,343,20210623
1,일본여행,아시아,일본,377,1049,1426,20210615
2,괌여행,오세아니아,미국,240,606,846,20210615
3,하와이여행,북아메리카,미국,206,553,759,20210615
4,태국여행,아시아,태국,186,536,722,20210615
5,싱가포르여행,아시아,싱가포르,144,516,660,20210615
6,미국여행,북아메리카,미국,151,428,579,20210615
7,대만여행,아시아,대만,151,425,576,20210615
8,베트남여행,아시아,베트남,114,444,558,20210615
9,프랑스여행,유럽,프랑스,143,380,523,20210615
10,스위스여행,유럽,스위스,132,378,510,20210615
1,일본여행,아시아,일본,348,1020,1368,20210608
2,하와이여행,북아메리카,미국,233,1083,1316,20210608
3,괌여행,오세아니아,미국,251,548,799,20210608
4,태국여행,아시아,태국,171,590,761,20210608
5,프랑스여행,유럽,프랑스,161,580,741,20210608
6,스페인여행,유럽,스페인,150,490,640,20210608
7,미국여행,북아메리카,미국,139,435,574,20210608
8,스위스여행,유럽,스위스,151,404,555,20210608
9,싱가포르여행,아시아,싱가포르,129,425,554,20210608
10,베트남여행,아시아,베트남,115,329,444,20210608
1,일본여행,아시아,일본,365,1179,1544,20210610
2,싱가포르여행,아시아,싱가포르,231,1098,1329,20210610
3,괌여행,오세아니아,미국,304,858,1162,20210610
4,태국여행,아시아,태국,221,779,1000,20210610
5,하와이여행,북아메리카,미국,183,741,924,20210610
6,프랑스여행,유럽,프랑스,229,645,874,20210610
7,대만여행,아시아,대만,188,527,715,20210610
8,미국여행,북아메리카,미국,177,474,651,20210610
9,베트남여행,아시아,베트남,128,380,508,20210610
10,스페인여행,유럽,스페인,102,386,488,20210610
1,일본여행,아시아,일본,333,1020,1353,20210607
2,태국여행,아시아,태국,213,666,879,20210607
3,푸껫여행,아시아,태국,213,660,873,20210607
4,괌여행,오세아니아,미국,236,620,856,20210607
5,하와이여행,북아메리카,미국,179,578,757,20210607
6,싱가포르여행,아시아,싱가포르,154,491,645,20210607
7,스페인여행,유럽,스페인,117,472,589,20210607
8,미국여행,북아메리카,미국,156,393,549,20210607
9,프랑스여행,유럽,프랑스,141,374,515,20210607
10,스위스여행,유럽,스위스,132,381,513,20210607
1,일본여행,아시아,일본,516,1422,1938,20210609
2,싱가포르여행,아시아,싱가포르,296,1355,1651,20210609
3,괌여행,오세아니아,미국,511,1131,1642,20210609
4,프랑스여행,유럽,프랑스,294,885,1179,20210609
5,태국여행,아시아,태국,279,884,1163,20210609
6,하와이여행,북아메리카,미국,234,906,1140,20210609
7,미국여행,북아메리카,미국,248,716,964,20210609
8,사이판여행,오세아니아,미국,234,680,914,20210609
9,대만여행,아시아,대만,221,532,753,20210609
10,베트남여행,아시아,베트남,173,495,668,20210609
1,일본여행,아시아,일본,426,1085,1511,20210616
2,터키여행,유럽,터키,160,809,969,20210616
3,괌여행,오세아니아,미국,222,621,843,20210616
4,하와이여행,북아메리카,미국,177,637,814,20210616
5,스페인여행,유럽,스페인,176,598,774,20210616
6,태국여행,아시아,태국,165,545,710,20210616
7,싱가포르여행,아시아,싱가포르,141,503,644,20210616
8,미국여행,북아메리카,미국,146,435,581,20210616
9,베트남여행,아시아,베트남,140,391,531,20210616
10,스위스여행,유럽,스위스,119,393,512,20210616
1,일본여행,아시아,일본,455,1239,1694,20210614
2,괌여행,오세아니아,미국,300,783,1083,20210614
3,하와이여행,북아메리카,미국,206,634,840,20210614
4,태국여행,아시아,태국,178,570,748,20210614
5,싱가포르여행,아시아,싱가포르,155,526,681,20210614
6,프랑스여행,유럽,프랑스,149,488,637,20210614
7,대만여행,아시아,대만,153,474,627,20210614
8,미국여행,북아메리카,미국,124,482,606,20210614
9,베트남여행,아시아,베트남,144,453,597,20210614
10,터키여행,유럽,터키,105,425,530,20210614
1,일본여행,아시아,일본,361,1014,1375,20210611
2,싱가포르여행,아시아,싱가포르,175,765,940,20210611
3,태국여행,아시아,태국,172,630,802,20210611
4,하와이여행,북아메리카,미국,196,574,770,20210611
5,괌여행,오세아니아,미국,225,523,748,20210611
6,프랑스여행,유럽,프랑스,162,507,669,20210611
7,대만여행,아시아,대만,162,389,551,20210611
8,미국여행,북아메리카,미국,124,421,545,20210611
9,베트남여행,아시아,베트남,118,345,463,20210611
10,스위스여행,유럽,스위스,110,322,432,20210611
1,조지아여행,유럽,조지아,17,1233,1250,20210612
2,일본여행,아시아,일본,239,999,1238,20210612
3,괌여행,오세아니아,미국,102,820,922,20210612
4,하와이여행,북아메리카,미국,91,722,813,20210612
5,싱가포르여행,아시아,싱가포르,72,621,693,20210612
6,태국여행,아시아,태국,79,601,680,20210612
7,대만여행,아시아,대만,74,540,614,20210612
8,베트남여행,아시아,베트남,62,424,486,20210612
9,프랑스여행,유럽,프랑스,69,409,478,20210612
10,미국여행,북아메리카,미국,71,393,464,20210612
1,괌여행,오세아니아,미국,454,1087,1541,20210601
2,일본여행,아시아,일본,339,1003,1342,20210601
3,하와이여행,북아메리카,미국,239,678,917,20210601
4,미국여행,북아메리카,미국,175,471,646,20210601
5,태국여행,아시아,태국,132,438,570,20210601
6,베트남여행,아시아,베트남,119,385,504,20210601
7,스위스여행,유럽,스위스,131,294,425,20210601
8,싱가포르여행,아시아,싱가포르,83,339,422,20210601
9,대만여행,아시아,대만,109,261,370,20210601
10,사이판여행,오세아니아,미국,80,248,328,20210601
1,일본여행,아시아,일본,177,816,993,20210605
2,하와이여행,북아메리카,미국,72,645,717,20210605
3,괌여행,오세아니아,미국,73,566,639,20210605
4,몽골여행,아시아,몽골,33,578,611,20210605
5,싱가포르여행,아시아,싱가포르,36,481,517,20210605
6,태국여행,아시아,태국,79,438,517,20210605
7,미국여행,북아메리카,미국,62,349,411,20210605
8,베트남여행,아시아,베트남,46,354,400,20210605
9,스위스여행,유럽,스위스,62,272,334,20210605
10,대만여행,아시아,대만,57,276,333,20210605
1,괌여행,오세아니아,미국,526,1018,1544,20210602
2,일본여행,아시아,일본,351,917,1268,20210602
3,하와이여행,북아메리카,미국,186,680,866,20210602
4,싱가포르여행,아시아,싱가포르,162,512,674,20210602
5,미국여행,북아메리카,미국,153,461,614,20210602
6,태국여행,아시아,태국,120,371,491,20210602
7,사이판여행,오세아니아,미국,117,357,474,20210602
8,베트남여행,아시아,베트남,117,351,468,20210602
9,스위스여행,유럽,스위스,113,305,418,20210602
10,대만여행,아시아,대만,121,265,386,20210602
1,일본여행,아시아,일본,244,863,1107,20210530
2,하와이여행,북아메리카,미국,89,558,647,20210530
3,미국여행,북아메리카,미국,104,447,551,20210530
4,베트남여행,아시아,베트남,83,467,550,20210530
5,괌여행,오세아니아,미국,58,435,493,20210530
6,태국여행,아시아,태국,89,358,447,20210530
7,싱가포르여행,아시아,싱가포르,53,380,433,20210530
8,스위스여행,유럽,스위스,106,267,373,20210530
9,중국여행,아시아,중국,69,240,309,20210530
10,대만여행,아시아,대만,67,238,305,20210530
1,일본여행,아시아,일본,391,972,1363,20210531
2,미국여행,북아메리카,미국,184,535,719,20210531
3,하와이여행,북아메리카,미국,159,518,677,20210531
4,괌여행,오세아니아,미국,201,394,595,20210531
5,태국여행,아시아,태국,113,410,523,20210531
6,베트남여행,아시아,베트남,106,402,508,20210531
7,스위스여행,유럽,스위스,129,280,409,20210531
8,대만여행,아시아,대만,103,259,362,20210531
9,중국여행,아시아,중국,85,269,354,20210531
10,프랑스여행,유럽,프랑스,114,237,351,20210531
1,일본여행,아시아,일본,240,1166,1406,20210613
2,조지아여행,유럽,조지아,25,1076,1101,20210613
3,괌여행,오세아니아,미국,106,942,1048,20210613
4,하와이여행,북아메리카,미국,97,849,946,20210613
5,싱가포르여행,아시아,싱가포르,88,673,761,20210613
6,태국여행,아시아,태국,102,653,755,20210613
7,대만여행,아시아,대만,79,652,731,20210613
8,터키여행,유럽,터키,44,645,689,20210613
9,베트남여행,아시아,베트남,66,525,591,20210613
10,프랑스여행,유럽,프랑스,74,395,469,20210613
1,일본여행,아시아,일본,229,992,1221,20210606
2,태국여행,아시아,태국,92,811,903,20210606
3,하와이여행,북아메리카,미국,86,776,862,20210606
4,괌여행,오세아니아,미국,81,652,733,20210606
5,싱가포르여행,아시아,싱가포르,61,641,702,20210606
6,베트남여행,아시아,베트남,71,524,595,20210606
7,몽골여행,아시아,몽골,52,541,593,20210606
8,스페인여행,유럽,스페인,60,456,516,20210606
9,미국여행,북아메리카,미국,67,437,504,20210606
10,터키여행,유럽,터키,36,430,466,20210606
1,일본여행,아시아,일본,176,727,903,20210529
2,하와이여행,북아메리카,미국,73,475,548,20210529
3,베트남여행,아시아,베트남,58,446,504,20210529
4,미국여행,북아메리카,미국,80,337,417,20210529
5,태국여행,아시아,태국,57,350,407,20210529
6,괌여행,오세아니아,미국,42,318,360,20210529
7,싱가포르여행,아시아,싱가포르,28,282,310,20210529
8,대만여행,아시아,대만,47,245,292,20210529
9,스페인여행,유럽,스페인,69,208,277,20210529
10,터키여행,유럽,터키,37,240,277,20210529
1,일본여행,아시아,일본,274,775,1049,20210528
2,하와이여행,북아메리카,미국,139,407,546,20210528
3,인도여행,아시아,인도,99,431,530,20210528
4,태국여행,아시아,태국,124,337,461,20210528
5,베트남여행,아시아,베트남,110,338,448,20210528
6,미국여행,북아메리카,미국,104,338,442,20210528
7,괌여행,오세아니아,미국,125,295,420,20210528
8,스위스여행,유럽,스위스,113,248,361,20210528
9,대만여행,아시아,대만,108,251,359,20210528
10,싱가포르여행,아시아,싱가포르,88,259,347,20210528
1,일본여행,아시아,일본,207,777,984,20210604
2,괌여행,오세아니아,미국,217,591,808,20210604
3,하와이여행,북아메리카,미국,168,530,698,20210604
4,미국여행,북아메리카,미국,106,442,548,20210604
5,싱가포르여행,아시아,싱가포르,86,416,502,20210604
6,태국여행,아시아,태국,143,352,495,20210604
7,베트남여행,아시아,베트남,92,338,430,20210604
8,스위스여행,유럽,스위스,99,268,367,20210604
9,대만여행,아시아,대만,94,232,326,20210604
10,필리핀여행,아시아,필리핀,57,221,278,20210604
1,일본여행,아시아,일본,254,813,1067,20210603
2,괌여행,오세아니아,미국,297,676,973,20210603
3,하와이여행,북아메리카,미국,167,563,730,20210603
4,싱가포르여행,아시아,싱가포르,134,381,515,20210603
5,태국여행,아시아,태국,122,390,512,20210603
6,미국여행,북아메리카,미국,124,372,496,20210603
7,인도여행,아시아,인도,77,404,481,20210603
8,베트남여행,아시아,베트남,94,315,409,20210603
9,스위스여행,유럽,스위스,141,247,388,20210603
10,대만여행,아시아,대만,103,262,365,20210603
1,일본여행,아시아,일본,302,953,1255,20210527
2,하와이여행,북아메리카,미국,187,447,634,20210527
3,베트남여행,아시아,베트남,130,407,537,20210527
4,괌여행,오세아니아,미국,155,349,504,20210527
5,태국여행,아시아,태국,128,362,490,20210527
6,미국여행,북아메리카,미국,106,378,484,20210527
7,스위스여행,유럽,스위스,117,285,402,20210527
8,싱가포르여행,아시아,싱가포르,78,306,384,20210527
9,대만여행,아시아,대만,98,267,365,20210527
10,중국여행,아시아,중국,80,282,362,20210527
1,일본여행,아시아,일본,202,781,983,20210519
2,하와이여행,북아메리카,미국,71,658,729,20210519
3,태국여행,아시아,태국,81,420,501,20210519
4,대만여행,아시아,대만,55,434,489,20210519
5,괌여행,오세아니아,미국,54,389,443,20210519
6,미국여행,북아메리카,미국,85,349,434,20210519
7,베트남여행,아시아,베트남,56,360,416,20210519
8,스위스여행,유럽,스위스,67,260,327,20210519
9,이스라엘여행,아시아,이스라엘,27,283,310,20210519
10,터키여행,유럽,터키,33,261,294,20210519
1,일본여행,아시아,일본,327,957,1284,20210524
2,하와이여행,북아메리카,미국,137,618,755,20210524
3,미국여행,북아메리카,미국,114,428,542,20210524
4,태국여행,아시아,태국,122,342,464,20210524
5,베트남여행,아시아,베트남,85,374,459,20210524
6,스위스여행,유럽,스위스,122,281,403,20210524
7,괌여행,오세아니아,미국,125,276,401,20210524
8,중국여행,아시아,중국,68,294,362,20210524
9,대만여행,아시아,대만,102,246,348,20210524
10,프랑스여행,유럽,프랑스,94,240,334,20210524
1,일본여행,아시아,일본,299,939,1238,20210520
2,터키여행,유럽,터키,61,537,598,20210520
3,하와이여행,북아메리카,미국,125,398,523,20210520
4,미국여행,북아메리카,미국,98,386,484,20210520
5,괌여행,오세아니아,미국,138,319,457,20210520
6,태국여행,아시아,태국,139,316,455,20210520
7,베트남여행,아시아,베트남,84,351,435,20210520
8,싱가포르여행,아시아,싱가포르,73,338,411,20210520
9,스위스여행,유럽,스위스,97,251,348,20210520
10,중국여행,아시아,중국,63,280,343,20210520
1,일본여행,아시아,일본,268,787,1055,20210521
2,하와이여행,북아메리카,미국,119,437,556,20210521
3,베트남여행,아시아,베트남,120,376,496,20210521
4,미국여행,북아메리카,미국,116,308,424,20210521
5,태국여행,아시아,태국,114,280,394,20210521
6,터키여행,유럽,터키,88,297,385,20210521
7,스위스여행,유럽,스위스,96,257,353,20210521
8,대만여행,아시아,대만,91,253,344,20210521
9,스페인여행,유럽,스페인,72,271,343,20210521
10,괌여행,오세아니아,미국,110,228,338,20210521
1,일본여행,아시아,일본,253,908,1161,20210523
2,하와이여행,북아메리카,미국,79,558,637,20210523
3,태국여행,아시아,태국,68,418,486,20210523
4,베트남여행,아시아,베트남,55,419,474,20210523
5,터키여행,유럽,터키,45,428,473,20210523
6,미국여행,북아메리카,미국,87,336,423,20210523
7,괌여행,오세아니아,미국,39,337,376,20210523
8,대만여행,아시아,대만,57,285,342,20210523
9,싱가포르여행,아시아,싱가포르,44,285,329,20210523
10,스페인여행,유럽,스페인,91,229,320,20210523
1,일본여행,아시아,일본,456,1418,1874,20210525
2,하와이여행,북아메리카,미국,169,477,646,20210525
3,괌여행,오세아니아,미국,182,436,618,20210525
4,미국여행,북아메리카,미국,131,404,535,20210525
5,베트남여행,아시아,베트남,125,374,499,20210525
6,태국여행,아시아,태국,118,369,487,20210525
7,스위스여행,유럽,스위스,120,314,434,20210525
8,싱가포르여행,아시아,싱가포르,65,341,406,20210525
9,대만여행,아시아,대만,119,281,400,20210525
10,중국여행,아시아,중국,77,291,368,20210525
1,일본여행,아시아,일본,296,946,1242,20210517
2,괌여행,오세아니아,미국,283,740,1023,20210517
3,미국여행,북아메리카,미국,132,420,552,20210517
4,베트남여행,아시아,베트남,111,434,545,20210517
5,하와이여행,북아메리카,미국,152,384,536,20210517
6,태국여행,아시아,태국,109,370,479,20210517
7,이스라엘여행,아시아,이스라엘,32,430,462,20210517
8,대만여행,아시아,대만,144,282,426,20210517
9,인도여행,아시아,인도,47,341,388,20210517
10,중국여행,아시아,중국,86,297,383,20210517
1,일본여행,아시아,일본,155,750,905,20210522
2,하와이여행,북아메리카,미국,61,432,493,20210522
3,베트남여행,아시아,베트남,44,361,405,20210522
4,태국여행,아시아,태국,53,340,393,20210522
5,미국여행,북아메리카,미국,45,304,349,20210522
6,대만여행,아시아,대만,36,274,310,20210522
7,괌여행,오세아니아,미국,42,266,308,20210522
8,터키여행,유럽,터키,38,262,300,20210522
9,스페인여행,유럽,스페인,56,230,286,20210522
10,싱가포르여행,아시아,싱가포르,31,235,266,20210522
1,일본여행,아시아,일본,291,860,1151,20210510
2,미국여행,북아메리카,미국,136,485,621,20210510
3,베트남여행,아시아,베트남,111,418,529,20210510
4,대만여행,아시아,대만,121,361,482,20210510
5,하와이여행,북아메리카,미국,111,357,468,20210510
6,태국여행,아시아,태국,127,330,457,20210510
7,괌여행,오세아니아,미국,112,269,381,20210510
8,스위스여행,유럽,스위스,99,275,374,20210510
9,스페인여행,유럽,스페인,130,239,369,20210510
10,캐나다여행,북아메리카,캐나다,55,289,344,20210510
1,일본여행,아시아,일본,204,809,1013,20210509
2,대만여행,아시아,대만,64,538,602,20210509
3,하와이여행,북아메리카,미국,67,431,498,20210509
4,베트남여행,아시아,베트남,59,390,449,20210509
5,미국여행,북아메리카,미국,55,360,415,20210509
6,태국여행,아시아,태국,58,338,396,20210509
7,괌여행,오세아니아,미국,51,320,371,20210509
8,뉴질랜드여행,오세아니아,뉴질랜드,53,298,351,20210509
9,스위스여행,유럽,스위스,53,286,339,20210509
10,중국여행,아시아,중국,53,252,305,20210509
1,일본여행,아시아,일본,261,796,1057,20210512
2,미국여행,북아메리카,미국,119,390,509,20210512
3,대만여행,아시아,대만,164,339,503,20210512
4,하와이여행,북아메리카,미국,114,358,472,20210512
5,베트남여행,아시아,베트남,103,364,467,20210512
6,태국여행,아시아,태국,84,341,425,20210512
7,스위스여행,유럽,스위스,88,248,336,20210512
8,중국여행,아시아,중국,61,246,307,20210512
9,괌여행,오세아니아,미국,100,190,290,20210512
10,스페인여행,유럽,스페인,105,184,289,20210512
1,일본여행,아시아,일본,373,1035,1408,20210526
2,하와이여행,북아메리카,미국,144,412,556,20210526
3,미국여행,북아메리카,미국,130,393,523,20210526
4,괌여행,오세아니아,미국,143,375,518,20210526
5,베트남여행,아시아,베트남,120,373,493,20210526
6,스위스여행,유럽,스위스,124,337,461,20210526
7,태국여행,아시아,태국,129,330,459,20210526
8,대만여행,아시아,대만,110,262,372,20210526
9,중국여행,아시아,중국,74,259,333,20210526
10,싱가포르여행,아시아,싱가포르,63,256,319,20210526
1,일본여행,아시아,일본,185,912,1097,20210516
2,대만여행,아시아,대만,51,671,722,20210516
3,괌여행,오세아니아,미국,81,569,650,20210516
4,하와이여행,북아메리카,미국,72,560,632,20210516
5,베트남여행,아시아,베트남,55,493,548,20210516
6,태국여행,아시아,태국,77,434,511,20210516
7,이스라엘여행,아시아,이스라엘,18,451,469,20210516
8,미국여행,북아메리카,미국,66,378,444,20210516
9,터키여행,유럽,터키,46,371,417,20210516
10,스위스여행,유럽,스위스,73,343,416,20210516
1,일본여행,아시아,일본,246,769,1015,20210514
2,베트남여행,아시아,베트남,112,408,520,20210514
3,이스라엘여행,아시아,이스라엘,55,372,427,20210514
4,하와이여행,북아메리카,미국,118,305,423,20210514
5,미국여행,북아메리카,미국,97,325,422,20210514
6,스위스여행,유럽,스위스,119,248,367,20210514
7,태국여행,아시아,태국,77,289,366,20210514
8,스페인여행,유럽,스페인,89,234,323,20210514
9,괌여행,오세아니아,미국,85,230,315,20210514
10,대만여행,아시아,대만,69,208,277,20210514
1,일본여행,아시아,일본,166,675,841,20210515
2,베트남여행,아시아,베트남,64,434,498,20210515
3,하와이여행,북아메리카,미국,70,378,448,20210515
4,태국여행,아시아,태국,64,320,384,20210515
5,대만여행,아시아,대만,72,284,356,20210515
6,미국여행,북아메리카,미국,61,277,338,20210515
7,터키여행,유럽,터키,30,286,316,20210515
8,스페인여행,유럽,스페인,111,195,306,20210515
9,괌여행,오세아니아,미국,33,255,288,20210515
10,스위스여행,유럽,스위스,59,225,284,20210515
1,일본여행,아시아,일본,249,791,1040,20210513
2,베트남여행,아시아,베트남,92,433,525,20210513
3,미국여행,북아메리카,미국,107,367,474,20210513
4,태국여행,아시아,태국,109,327,436,20210513
5,하와이여행,북아메리카,미국,102,312,414,20210513
6,스위스여행,유럽,스위스,108,269,377,20210513
7,대만여행,아시아,대만,95,238,333,20210513
8,괌여행,오세아니아,미국,87,234,321,20210513
9,중국여행,아시아,중국,64,257,321,20210513
10,스페인여행,유럽,스페인,114,193,307,20210513
1,일본여행,아시아,일본,129,565,694,20210508
2,대만여행,아시아,대만,71,431,502,20210508
3,베트남여행,아시아,베트남,75,332,407,20210508
4,하와이여행,북아메리카,미국,46,313,359,20210508
5,태국여행,아시아,태국,40,303,343,20210508
6,조지아여행,유럽,조지아,8,327,335,20210508
7,괌여행,오세아니아,미국,43,281,324,20210508
8,미국여행,북아메리카,미국,48,245,293,20210508
9,스위스여행,유럽,스위스,49,240,289,20210508
10,스페인여행,유럽,스페인,58,219,277,20210508
1,일본여행,아시아,일본,214,741,955,20210507
2,대만여행,아시아,대만,93,459,552,20210507
3,베트남여행,아시아,베트남,87,323,410,20210507
4,태국여행,아시아,태국,98,290,388,20210507
5,하와이여행,북아메리카,미국,95,289,384,20210507
6,미국여행,북아메리카,미국,81,294,375,20210507
7,조지아여행,유럽,조지아,26,331,357,20210507
8,스위스여행,유럽,스위스,78,221,299,20210507
9,괌여행,오세아니아,미국,93,203,296,20210507
10,스페인여행,유럽,스페인,67,172,239,20210507
1,일본여행,아시아,일본,165,820,985,20210505
2,하와이여행,북아메리카,미국,55,541,596,20210505
3,베트남여행,아시아,베트남,61,422,483,20210505
4,태국여행,아시아,태국,67,359,426,20210505
5,대만여행,아시아,대만,66,320,386,20210505
6,미국여행,북아메리카,미국,46,328,374,20210505
7,괌여행,오세아니아,미국,41,329,370,20210505
8,터키여행,유럽,터키,31,328,359,20210505
9,싱가포르여행,아시아,싱가포르,23,308,331,20210505
10,중국여행,아시아,중국,48,214,262,20210505
1,일본여행,아시아,일본,267,778,1045,20210503
2,베트남여행,아시아,베트남,84,420,504,20210503
3,하와이여행,북아메리카,미국,91,353,444,20210503
4,태국여행,아시아,태국,95,333,428,20210503
5,괌여행,오세아니아,미국,125,298,423,20210503
6,미국여행,북아메리카,미국,96,327,423,20210503
7,몰타여행,유럽,몰타,39,379,418,20210503
8,대만여행,아시아,대만,90,312,402,20210503
9,중국여행,아시아,중국,78,251,329,20210503
10,스위스여행,유럽,스위스,87,208,295,20210503
1,일본여행,아시아,일본,877,5165,6042,20211121
2,괌여행,오세아니아,미국,224,2181,2405,20211121
3,태국여행,아시아,태국,243,1815,2058,20211121
4,터키여행,유럽,터키,122,1786,1908,20211121
