"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","AREA_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"40702","1","부산여행","여행","국내여행","부산광역시","1504","843","2347","20190925"
"40703","2","경주여행","여행","국내여행","경상북도","1230","623","1853","20190925"
"40704","3","제주여행","여행","국내여행","제주특별자치도","1241","437","1678","20190925"
"40705","4","여수여행","여행","국내여행","전라남도","801","260","1061","20190925"
"40706","5","강릉여행","여행","국내여행","강원도","692","254","946","20190925"
"40707","6","속초여행","여행","국내여행","강원도","493","195","688","20190925"
"40708","7","전주여행","여행","국내여행","전라북도","489","199","688","20190925"
"40709","8","대구여행","여행","국내여행","대구광역시","408","172","580","20190925"
"40710","9","군산여행","여행","국내여행","전라북도","413","159","572","20190925"
"40711","10","순천여행","여행","국내여행","전라남도","372","189","561","20190925"
