"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","AREA_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"49542","1","부산여행","여행","국내여행","부산광역시","320","2176","2496","20220220"
"49543","2","제주여행","여행","국내여행","제주특별자치도","253","2100","2353","20220220"
"49544","3","경주여행","여행","국내여행","경상북도","171","1442","1613","20220220"
"49545","4","강릉여행","여행","국내여행","강원도","181","1328","1509","20220220"
"49546","5","여수여행","여행","국내여행","전라남도","142","1247","1389","20220220"
"49547","6","전주여행","여행","국내여행","전라북도","110","902","1012","20220220"
"49548","7","군산여행","여행","국내여행","전라북도","85","864","949","20220220"
"49549","8","속초여행","여행","국내여행","강원도","108","834","942","20220220"
"49550","9","남해여행","여행","국내여행","경상남도","108","688","796","20220220"
"49551","10","대구여행","여행","국내여행","대구광역시","71","564","635","20220220"
