SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
53932,1,부산여행,여행,국내여행,부산광역시,497,1660,2157,20230303
53933,2,군산여행,여행,국내여행,전라북도,257,1458,1715,20230303
53934,3,여수여행,여행,국내여행,전라남도,340,1350,1690,20230303
53935,4,제주여행,여행,국내여행,제주특별자치도,410,1232,1642,20230303
53936,5,경주여행,여행,국내여행,경상북도,339,1048,1387,20230303
53937,6,강릉여행,여행,국내여행,강원도,264,800,1064,20230303
53938,7,전주여행,여행,국내여행,전라북도,243,786,1029,20230303
53939,8,속초여행,여행,국내여행,강원도,221,618,839,20230303
53940,9,대구여행,여행,국내여행,대구광역시,176,515,691,20230303
53941,10,남해여행,여행,국내여행,경상남도,173,457,630,20230303
