"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","AREA_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"45752","1","부산여행","여행","국내여행","부산광역시","212","1608","1820","20210211"
"45753","2","제주여행","여행","국내여행","제주특별자치도","146","1621","1767","20210211"
"45754","3","강릉여행","여행","국내여행","강원도","106","785","891","20210211"
"45755","4","경주여행","여행","국내여행","경상북도","107","776","883","20210211"
"45756","5","여수여행","여행","국내여행","전라남도","106","753","859","20210211"
"45757","6","속초여행","여행","국내여행","강원도","84","615","699","20210211"
"45758","7","군산여행","여행","국내여행","전라북도","63","481","544","20210211"
"45759","8","전주여행","여행","국내여행","전라북도","53","482","535","20210211"
"45760","9","춘천여행","여행","국내여행","강원도","47","427","474","20210211"
"45761","10","남해여행","여행","국내여행","경상남도","65","383","448","20210211"
