SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
54202,1,부산여행,여행,국내여행,부산광역시,646,1978,2624,20230329
54203,2,경주여행,여행,국내여행,경상북도,601,1633,2234,20230329
54204,3,여수여행,여행,국내여행,전라남도,420,1422,1842,20230329
54205,4,제주여행,여행,국내여행,제주특별자치도,353,1290,1643,20230329
54206,5,군산여행,여행,국내여행,전라북도,275,1183,1458,20230329
54207,6,강릉여행,여행,국내여행,강원도,307,846,1153,20230329
54208,7,전주여행,여행,국내여행,전라북도,232,838,1070,20230329
54209,8,남해여행,여행,국내여행,경상남도,201,624,825,20230329
54210,9,대구여행,여행,국내여행,대구광역시,196,605,801,20230329
54211,10,속초여행,여행,국내여행,강원도,215,529,744,20230329
