"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","AREA_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"43882","1","부산여행","여행","국내여행","부산광역시","2614","480","3094","20200808"
"43883","2","제주여행","여행","국내여행","제주특별자치도","2046","386","2432","20200808"
"43884","3","여수여행","여행","국내여행","전라남도","1885","287","2172","20200808"
"43885","4","강릉여행","여행","국내여행","강원도","1344","227","1571","20200808"
"43886","5","경주여행","여행","국내여행","경상북도","1325","200","1525","20200808"
"43887","6","속초여행","여행","국내여행","강원도","1224","155","1379","20200808"
"43888","7","남해여행","여행","국내여행","경상남도","881","150","1031","20200808"
"43889","8","군산여행","여행","국내여행","전라북도","651","124","775","20200808"
"43890","9","전주여행","여행","국내여행","전라북도","600","95","695","20200808"
"43891","10","통영여행","여행","국내여행","경상남도","577","85","662","20200808"
