SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
53762,1,부산여행,여행,국내여행,부산광역시,920,2892,3812,20230214
53763,2,여수여행,여행,국내여행,전라남도,460,1927,2387,20230214
53764,3,제주여행,여행,국내여행,제주특별자치도,486,1854,2340,20230214
53765,4,경주여행,여행,국내여행,경상북도,502,1464,1966,20230214
53766,5,군산여행,여행,국내여행,전라북도,317,1241,1558,20230214
53767,6,강릉여행,여행,국내여행,강원도,450,1045,1495,20230214
53768,7,전주여행,여행,국내여행,전라북도,260,1111,1371,20230214
53769,8,속초여행,여행,국내여행,강원도,273,889,1162,20230214
53770,9,대구여행,여행,국내여행,대구광역시,242,773,1015,20230214
53771,10,남해여행,여행,국내여행,경상남도,185,524,709,20230214
