SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
54232,1,부산여행,여행,국내여행,부산광역시,201,1981,2182,20230401
54233,2,여수여행,여행,국내여행,전라남도,121,1447,1568,20230401
54234,3,군산여행,여행,국내여행,전라북도,71,1435,1506,20230401
54235,4,경주여행,여행,국내여행,경상북도,154,1299,1453,20230401
54236,5,제주여행,여행,국내여행,제주특별자치도,157,1215,1372,20230401
54237,6,강릉여행,여행,국내여행,강원도,111,812,923,20230401
54238,7,전주여행,여행,국내여행,전라북도,76,835,911,20230401
54239,8,대구여행,여행,국내여행,대구광역시,61,695,756,20230401
54240,9,남해여행,여행,국내여행,경상남도,79,610,689,20230401
54241,10,속초여행,여행,국내여행,강원도,70,615,685,20230401
