"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","AREA_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"45762","1","부산여행","여행","국내여행","부산광역시","182","1733","1915","20210212"
"45763","2","제주여행","여행","국내여행","제주특별자치도","151","1707","1858","20210212"
"45764","3","여수여행","여행","국내여행","전라남도","95","888","983","20210212"
"45765","4","경주여행","여행","국내여행","경상북도","116","865","981","20210212"
"45766","5","강릉여행","여행","국내여행","강원도","97","848","945","20210212"
"45767","6","속초여행","여행","국내여행","강원도","73","664","737","20210212"
"45768","7","남해여행","여행","국내여행","경상남도","68","549","617","20210212"
"45769","8","전주여행","여행","국내여행","전라북도","50","556","606","20210212"
"45770","9","군산여행","여행","국내여행","전라북도","51","539","590","20210212"
"45771","10","춘천여행","여행","국내여행","강원도","38","449","487","20210212"
