SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
54542,1,부산여행,여행,국내여행,부산광역시,836,2341,3177,20230502
54543,2,여수여행,여행,국내여행,전라남도,409,1693,2102,20230502
54544,3,경주여행,여행,국내여행,경상북도,456,1639,2095,20230502
54545,4,제주여행,여행,국내여행,제주특별자치도,381,1256,1637,20230502
54546,5,군산여행,여행,국내여행,전라북도,257,1242,1499,20230502
54547,6,강릉여행,여행,국내여행,강원도,380,1020,1400,20230502
54548,7,전주여행,여행,국내여행,전라북도,298,883,1181,20230502
54549,8,남해여행,여행,국내여행,경상남도,269,782,1051,20230502
54550,9,속초여행,여행,국내여행,강원도,239,741,980,20230502
54551,10,대구여행,여행,국내여행,대구광역시,231,739,970,20230502
